Altitude,Treatment,Temp,Moisture,Day,Rtime
High Altitude,Treated,11.35,0.118,136,15/05/2013 16:00
High Altitude,Treated,10.62,0.116,136,15/05/2013 17:00
High Altitude,Treated,9.56,0.114,136,15/05/2013 18:00
High Altitude,Treated,8.81,0.113,136,15/05/2013 19:00
High Altitude,Treated,7.09,0.112,136,15/05/2013 20:00
High Altitude,Treated,6.521,0.111,136,15/05/2013 21:00
High Altitude,Treated,7.171,0.11,136,15/05/2013 22:00
High Altitude,Treated,6.534,0.109,136,15/05/2013 23:00
High Altitude,Treated,5.934,0.109,136,16/05/2013 00:00
High Altitude,Treated,5.1,0.108,136,16/05/2013 01:00
High Altitude,Treated,4.56,0.108,136,16/05/2013 02:00
High Altitude,Treated,4.275,0.111,136,16/05/2013 03:00
High Altitude,Treated,3.613,0.13,136,16/05/2013 04:00
High Altitude,Treated,2.527,0.151,136,16/05/2013 05:00
High Altitude,Treated,2.83,0.153,136,16/05/2013 06:00
High Altitude,Treated,3.83,0.159,136,16/05/2013 07:00
High Altitude,Treated,5.642,0.156,136,16/05/2013 08:00
High Altitude,Treated,9.03,0.152,136,16/05/2013 09:00
High Altitude,Treated,11.04,0.147,136,16/05/2013 10:00
High Altitude,Treated,10.04,0.142,136,16/05/2013 11:00
High Altitude,Treated,8.02,0.139,137,16/05/2013 12:00
High Altitude,Treated,7.695,0.136,137,16/05/2013 13:00
High Altitude,Treated,9.52,0.133,137,16/05/2013 14:00
High Altitude,Treated,8.68,0.129,137,16/05/2013 15:00
High Altitude,Treated,6.254,0.127,137,16/05/2013 16:00
High Altitude,Treated,9.28,0.125,137,16/05/2013 17:00
High Altitude,Treated,11,0.124,137,16/05/2013 18:00
High Altitude,Treated,7.535,0.122,137,16/05/2013 19:00
High Altitude,Treated,6.652,0.121,137,16/05/2013 20:00
High Altitude,Treated,5.867,0.12,137,16/05/2013 21:00
High Altitude,Treated,4.727,0.119,137,16/05/2013 22:00
High Altitude,Treated,3.058,0.119,137,16/05/2013 23:00
High Altitude,Treated,4.041,0.118,137,17/05/2013 00:00
High Altitude,Treated,4.066,0.118,137,17/05/2013 01:00
High Altitude,Treated,3.318,0.117,137,17/05/2013 02:00
High Altitude,Treated,1.89,0.117,137,17/05/2013 03:00
High Altitude,Treated,0.845,0.117,137,17/05/2013 04:00
High Altitude,Treated,-0.792,0.117,137,17/05/2013 05:00
High Altitude,Treated,0.795,0.116,137,17/05/2013 06:00
High Altitude,Treated,6.173,0.117,137,17/05/2013 07:00
High Altitude,Treated,11.18,0.118,137,17/05/2013 08:00
High Altitude,Treated,12.1,0.117,137,17/05/2013 09:00
High Altitude,Treated,11.95,0.116,137,17/05/2013 10:00
High Altitude,Treated,12.52,0.115,137,17/05/2013 11:00
High Altitude,Treated,14,0.114,138,17/05/2013 12:00
High Altitude,Treated,14.51,0.113,138,17/05/2013 13:00
High Altitude,Treated,14.44,0.112,138,17/05/2013 14:00
High Altitude,Treated,16.13,0.111,138,17/05/2013 15:00
High Altitude,Treated,15.47,0.109,138,17/05/2013 16:00
High Altitude,Treated,14.16,0.108,138,17/05/2013 17:00
High Altitude,Treated,14.9,0.107,138,17/05/2013 18:00
High Altitude,Treated,14.67,0.106,138,17/05/2013 19:00
High Altitude,Treated,13.02,0.105,138,17/05/2013 20:00
High Altitude,Treated,9.81,0.104,138,17/05/2013 21:00
High Altitude,Treated,5.633,0.103,138,17/05/2013 22:00
High Altitude,Treated,3.85,0.103,138,17/05/2013 23:00
High Altitude,Treated,4.221,0.103,138,18/05/2013 00:00
High Altitude,Treated,4.579,0.102,138,18/05/2013 01:00
High Altitude,Treated,3.849,0.102,138,18/05/2013 02:00
High Altitude,Treated,3.591,0.104,138,18/05/2013 03:00
High Altitude,Treated,3.525,0.103,138,18/05/2013 04:00
High Altitude,Treated,2.486,0.103,138,18/05/2013 05:00
High Altitude,Treated,1.725,0.104,138,18/05/2013 06:00
High Altitude,Treated,3.765,0.104,138,18/05/2013 07:00
High Altitude,Treated,7.527,0.104,138,18/05/2013 08:00
High Altitude,Treated,10.83,0.104,138,18/05/2013 09:00
High Altitude,Treated,12.27,0.105,138,18/05/2013 10:00
High Altitude,Treated,12.48,0.105,138,18/05/2013 11:00
High Altitude,Treated,12.39,0.103,139,18/05/2013 12:00
High Altitude,Treated,12.64,0.103,139,18/05/2013 13:00
High Altitude,Treated,11.85,0.103,139,18/05/2013 14:00
High Altitude,Treated,11.43,0.103,139,18/05/2013 15:00
High Altitude,Treated,11.82,0.102,139,18/05/2013 16:00
High Altitude,Treated,10.53,0.101,139,18/05/2013 17:00
High Altitude,Treated,9.64,0.099,139,18/05/2013 18:00
High Altitude,Treated,8.93,0.098,139,18/05/2013 19:00
High Altitude,Treated,7.482,0.098,139,18/05/2013 20:00
High Altitude,Treated,6.22,0.097,139,18/05/2013 21:00
High Altitude,Treated,6.184,0.097,139,18/05/2013 22:00
High Altitude,Treated,6.489,0.097,139,18/05/2013 23:00
High Altitude,Treated,6.518,0.096,139,19/05/2013 00:00
High Altitude,Treated,6.576,0.096,139,19/05/2013 01:00
High Altitude,Treated,6.86,0.096,139,19/05/2013 02:00
High Altitude,Treated,6.986,0.096,139,19/05/2013 03:00
High Altitude,Treated,7.038,0.096,139,19/05/2013 04:00
High Altitude,Treated,7.086,0.096,139,19/05/2013 05:00
High Altitude,Treated,7.251,0.096,139,19/05/2013 06:00
High Altitude,Treated,8.4,0.096,139,19/05/2013 07:00
High Altitude,Treated,10.65,0.097,139,19/05/2013 08:00
High Altitude,Treated,14.32,0.097,139,19/05/2013 09:00
High Altitude,Treated,15.54,0.098,139,19/05/2013 10:00
High Altitude,Treated,16.42,0.099,139,19/05/2013 11:00
High Altitude,Treated,15,0.1,140,19/05/2013 12:00
High Altitude,Treated,14.04,0.099,140,19/05/2013 13:00
High Altitude,Treated,13.27,0.099,140,19/05/2013 14:00
High Altitude,Treated,13.33,0.099,140,19/05/2013 15:00
High Altitude,Treated,13.58,0.098,140,19/05/2013 16:00
High Altitude,Treated,11.79,0.097,140,19/05/2013 17:00
High Altitude,Treated,10.99,0.096,140,19/05/2013 18:00
High Altitude,Treated,10.59,0.095,140,19/05/2013 19:00
High Altitude,Treated,9.75,0.095,140,19/05/2013 20:00
High Altitude,Treated,6.2,0.093,140,19/05/2013 21:00
High Altitude,Treated,3.816,0.093,140,19/05/2013 22:00
High Altitude,Treated,2.738,0.092,140,19/05/2013 23:00
High Altitude,Treated,1.999,0.092,140,20/05/2013 00:00
High Altitude,Treated,3.318,0.092,140,20/05/2013 01:00
High Altitude,Treated,7.186,0.093,140,20/05/2013 02:00
High Altitude,Treated,8.96,0.092,140,20/05/2013 03:00
High Altitude,Treated,9.48,0.093,140,20/05/2013 04:00
High Altitude,Treated,9.58,0.092,140,20/05/2013 05:00
High Altitude,Treated,9.99,0.092,140,20/05/2013 06:00
High Altitude,Treated,10.63,0.092,140,20/05/2013 07:00
High Altitude,Treated,11.56,0.093,140,20/05/2013 08:00
High Altitude,Treated,12.26,0.093,140,20/05/2013 09:00
High Altitude,Treated,13.69,0.094,140,20/05/2013 10:00
High Altitude,Treated,15.43,0.094,140,20/05/2013 11:00
High Altitude,Treated,14.86,0.094,141,20/05/2013 12:00
High Altitude,Treated,14.44,0.094,141,20/05/2013 13:00
High Altitude,Treated,14.28,0.093,141,20/05/2013 14:00
High Altitude,Treated,14.45,0.093,141,20/05/2013 15:00
High Altitude,Treated,14.41,0.092,141,20/05/2013 16:00
High Altitude,Treated,13.87,0.092,141,20/05/2013 17:00
High Altitude,Treated,13.28,0.091,141,20/05/2013 18:00
High Altitude,Treated,12.61,0.091,141,20/05/2013 19:00
High Altitude,Treated,11.49,0.09,141,20/05/2013 20:00
High Altitude,Treated,11.44,0.09,141,20/05/2013 21:00
High Altitude,Treated,11.09,0.089,141,20/05/2013 22:00
High Altitude,Treated,10.77,0.09,141,20/05/2013 23:00
High Altitude,Treated,10.48,0.089,141,21/05/2013 00:00
High Altitude,Treated,10.44,0.088,141,21/05/2013 01:00
High Altitude,Treated,10.1,0.088,141,21/05/2013 02:00
High Altitude,Treated,9.78,0.088,141,21/05/2013 03:00
High Altitude,Treated,9.66,0.088,141,21/05/2013 04:00
High Altitude,Treated,9.64,0.088,141,21/05/2013 05:00
High Altitude,Treated,9.44,0.088,141,21/05/2013 06:00
High Altitude,Treated,9.39,0.088,141,21/05/2013 07:00
High Altitude,Treated,9.51,0.088,141,21/05/2013 08:00
High Altitude,Treated,10.36,0.088,141,21/05/2013 09:00
High Altitude,Treated,10.72,0.088,141,21/05/2013 10:00
High Altitude,Treated,12.57,0.088,141,21/05/2013 11:00
High Altitude,Treated,12.45,0.088,142,21/05/2013 12:00
High Altitude,Treated,12.72,0.088,142,21/05/2013 13:00
High Altitude,Treated,11.32,0.088,142,21/05/2013 14:00
High Altitude,Treated,11.11,0.087,142,21/05/2013 15:00
High Altitude,Treated,10.7,0.082,142,21/05/2013 16:00
High Altitude,Treated,10.2,0.082,142,21/05/2013 17:00
High Altitude,Treated,10.61,0.092,142,21/05/2013 18:00
High Altitude,Treated,10.68,0.091,142,21/05/2013 19:00
High Altitude,Treated,10.35,0.091,142,21/05/2013 20:00
High Altitude,Treated,9.47,0.09,142,21/05/2013 21:00
High Altitude,Treated,9.11,0.09,142,21/05/2013 22:00
High Altitude,Treated,8.54,0.09,142,21/05/2013 23:00
High Altitude,Treated,8.51,0.09,142,22/05/2013 00:00
High Altitude,Treated,8.78,0.09,142,22/05/2013 01:00
High Altitude,Treated,8.95,0.09,142,22/05/2013 02:00
High Altitude,Treated,9.14,0.09,142,22/05/2013 03:00
High Altitude,Treated,9.14,0.09,142,22/05/2013 04:00
High Altitude,Treated,9.26,0.09,142,22/05/2013 05:00
High Altitude,Treated,9.4,0.09,142,22/05/2013 06:00
High Altitude,Treated,9.37,0.09,142,22/05/2013 07:00
High Altitude,Treated,10.46,0.09,142,22/05/2013 08:00
High Altitude,Treated,11.85,0.091,142,22/05/2013 09:00
High Altitude,Treated,12.22,0.091,142,22/05/2013 10:00
High Altitude,Treated,13.61,0.091,142,22/05/2013 11:00
High Altitude,Treated,13.6,0.091,143,22/05/2013 12:00
High Altitude,Treated,11.31,0.09,143,22/05/2013 13:00
High Altitude,Treated,11.51,0.09,143,22/05/2013 14:00
